CustomerID,Age,TenureMonths,MonthlyCharges,Contract,InternetService,PaymentMethod,TechSupport,Churn
CUST0001,23,59,35.9,Two year,No,Bank transfer,No,Yes
CUST0002,66,54,73.53,Month-to-month,Fiber optic,Electronic check,Yes,No
CUST0003,59,41,42.26,Two year,No,Bank transfer,No,No
CUST0004,45,64,44.47,One year,No,Credit card,Yes,Yes
CUST0005,45,10,90.07,Month-to-month,No,Electronic check,No,Yes
CUST0006,72,67,67.33,Two year,DSL,Mailed check,Yes,No
CUST0007,23,62,117.58,Month-to-month,DSL,Credit card,No,No
CUST0008,61,37,60.32,Month-to-month,Fiber optic,Credit card,Yes,No
CUST0009,30,53,98.99,Month-to-month,DSL,Bank transfer,Yes,No
CUST0010,23,38,73.8,One year,DSL,Credit card,No,No
CUST0011,51,20,92.7,Month-to-month,No,Mailed check,Yes,Yes
CUST0012,79,58,86.97,Month-to-month,Fiber optic,Credit card,Yes,Yes
CUST0013,64,18,74.91,Month-to-month,No,Credit card,No,Yes
CUST0014,65,23,120.26,Month-to-month,No,Electronic check,Yes,No
CUST0015,63,38,62.56,Month-to-month,No,Electronic check,No,Yes
CUST0016,67,61,46.84,One year,DSL,Bank transfer,No,No
CUST0017,50,28,94.42,Month-to-month,DSL,Credit card,Yes,Yes
CUST0018,26,36,110.37,Month-to-month,DSL,Credit card,No,Yes
CUST0019,70,3,33.82,One year,Fiber optic,Electronic check,Yes,No
CUST0020,46,9,72.72,Month-to-month,Fiber optic,Electronic check,No,Yes
CUST0021,49,5,114.79,One year,DSL,Credit card,Yes,No
CUST0022,41,6,101.21,Month-to-month,DSL,Bank transfer,Yes,No
CUST0023,29,63,124.22,Month-to-month,DSL,Credit card,Yes,No
CUST0024,76,61,80.48,Month-to-month,Fiber optic,Credit card,No,Yes
CUST0025,67,60,92.7,Month-to-month,No,Mailed check,No,Yes
CUST0026,58,5,58.74,Month-to-month,Fiber optic,Bank transfer,No,Yes
CUST0027,43,6,120.02,Two year,No,Mailed check,No,Yes
CUST0028,69,21,64.8,Month-to-month,Fiber optic,Bank transfer,No,Yes
CUST0029,52,41,100.16,One year,No,Electronic check,No,No
CUST0030,45,25,68.3,One year,DSL,Bank transfer,No,Yes
CUST0031,46,36,83.37,Month-to-month,Fiber optic,Bank transfer,No,Yes
CUST0032,32,13,98.38,One year,Fiber optic,Bank transfer,Yes,No
CUST0033,23,53,78.35,Month-to-month,Fiber optic,Bank transfer,No,Yes
CUST0034,52,23,116.17,Month-to-month,Fiber optic,Credit card,No,Yes
CUST0035,73,5,69.83,Month-to-month,DSL,Bank transfer,Yes,No
CUST0036,22,54,91.47,One year,DSL,Mailed check,Yes,Yes
CUST0037,72,66,62.52,Two year,No,Mailed check,Yes,No
CUST0038,70,2,68.77,Month-to-month,DSL,Credit card,No,Yes
CUST0039,35,32,71.8,One year,No,Bank transfer,Yes,No
CUST0040,57,60,41.95,One year,DSL,Bank transfer,No,No
CUST0041,28,51,38.71,Month-to-month,No,Credit card,Yes,Yes
CUST0042,65,62,93.41,One year,No,Credit card,No,Yes
CUST0043,62,30,92.27,One year,No,Credit card,Yes,No
CUST0044,40,27,92.98,Two year,Fiber optic,Bank transfer,No,Yes
CUST0045,22,52,31.88,Two year,No,Bank transfer,No,Yes
CUST0046,79,12,61.02,Month-to-month,No,Mailed check,Yes,No
CUST0047,46,18,48.79,Month-to-month,DSL,Credit card,Yes,Yes
CUST0048,74,44,103.92,One year,No,Electronic check,Yes,No
CUST0049,60,49,111.76,Month-to-month,DSL,Bank transfer,Yes,Yes
CUST0050,67,9,53.43,Month-to-month,DSL,Credit card,No,No
CUST0051,65,37,93.45,Two year,No,Bank transfer,No,Yes
CUST0052,30,27,42.29,Month-to-month,DSL,Electronic check,No,Yes
CUST0053,40,37,56.14,Month-to-month,No,Credit card,No,Yes
CUST0054,47,70,43.17,Two year,DSL,Mailed check,Yes,Yes
CUST0055,49,6,56.93,Month-to-month,Fiber optic,Bank transfer,No,No
CUST0056,20,72,94.1,Month-to-month,Fiber optic,Mailed check,No,Yes
CUST0057,52,33,116.48,Two year,DSL,Electronic check,Yes,No
CUST0058,27,56,49.24,Month-to-month,No,Bank transfer,No,Yes
CUST0059,64,31,81.5,Month-to-month,No,Bank transfer,Yes,No
CUST0060,61,23,96.63,Month-to-month,No,Electronic check,No,Yes
CUST0061,76,56,120.53,Two year,No,Electronic check,No,Yes
CUST0062,64,50,87.96,Month-to-month,Fiber optic,Mailed check,No,Yes
CUST0063,41,11,54.24,One year,No,Bank transfer,Yes,Yes
CUST0064,78,51,89.42,Month-to-month,DSL,Mailed check,No,Yes
CUST0065,43,55,60.45,Month-to-month,No,Mailed check,Yes,No
CUST0066,38,28,122.73,Two year,DSL,Electronic check,No,Yes
CUST0067,75,67,67.97,One year,No,Mailed check,Yes,No
CUST0068,41,47,95.12,Two year,DSL,Mailed check,No,Yes
CUST0069,22,25,32.21,Month-to-month,DSL,Credit card,No,Yes
CUST0070,47,1,68.01,One year,Fiber optic,Credit card,Yes,No
CUST0071,68,49,113.14,Two year,DSL,Electronic check,Yes,Yes
CUST0072,29,16,87.97,Month-to-month,Fiber optic,Bank transfer,No,Yes
CUST0073,47,55,72.17,Month-to-month,Fiber optic,Credit card,Yes,Yes
CUST0074,26,38,118.91,Two year,No,Mailed check,Yes,No
CUST0075,61,34,111.13,Month-to-month,Fiber optic,Credit card,Yes,No
CUST0076,47,12,60.61,One year,DSL,Credit card,Yes,Yes
CUST0077,38,52,81.73,Two year,DSL,Bank transfer,No,No
CUST0078,32,12,76.53,Month-to-month,DSL,Mailed check,No,Yes
CUST0079,53,31,90.06,Month-to-month,No,Mailed check,Yes,Yes
CUST0080,60,61,61.74,Month-to-month,No,Electronic check,No,No
CUST0081,77,67,53.2,Month-to-month,Fiber optic,Electronic check,Yes,Yes
CUST0082,45,72,116.7,Month-to-month,No,Bank transfer,Yes,Yes
CUST0083,28,69,117.77,One year,DSL,Credit card,No,Yes
CUST0084,70,41,110.12,Month-to-month,Fiber optic,Credit card,Yes,Yes
CUST0085,57,15,122.93,One year,Fiber optic,Credit card,No,No
CUST0086,62,61,100.77,Month-to-month,Fiber optic,Bank transfer,No,Yes
